297,Ascabiol Emulsion,109.17,Abbott,allopathy,bottle of 100 ml Solution,Gamanom Emulsion,Hexab Emulsion, Scabies,,52,6/15/2026,A-04
298,Addwize 10mg Tablet,127.0,Sun Pharmaceutical Industries Ltd,allopathy,strip of 10 tablets,Meth OD 10mg Tablet,Inspiral 10mg Tablet, Attention deficit hyperactivity disorder (ADHD),,54,12/20/2024,A-01
303,Augpen -DS Suspension,149.7,Zuventus Healthcare Ltd,allopathy,bottle of 30 ml Suspension,Moxclav BD DS 457mg Suspension,Zoxil CV 400mg/5ml/57mg/5ml Suspension,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,49,12/20/2024,A-05
304,Althrocin Liquid,59.35,Alembic Pharmaceuticals Ltd,allopathy,bottle of 60 ml Oral Suspension,Erocyn 125mg Oral Suspension,,Treatment of Pertussis,Treatment of Diphtheria,39,2/2/2026,A-03
306,Augpen 625 BID Tablet,216.28,Zuventus Healthcare Ltd,allopathy,strip of 10 tablets,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Treatment of Bacterial infections,,60,2/2/2026,A-05
310,Acivir Eye Ointment,58.11,Cipla Ltd,allopathy,tube of 5 gm Eye Ointment,Zovirax Eye Ointment,Yavir Eye Ointment,Treatment of Eye infections by Herpes simplex virus,,30,12/23/2026,A-01
312,Actrapid 100 IU/ml Flexpen,569.8,Novo Nordisk India Pvt Ltd,allopathy,flexpen of 3 ml Solution for Injection,Wosulin-R DispoPen,Lupisulin R 100IU/ml Cartridge, Diabetes,,50,12/23/2026,A-01
313,Amitone 25mg Tablet,27.54,Intas Pharmaceuticals Ltd,allopathy,strip of 10 tablets,Amidep 25mg Tablet,Amitril 25mg Tablet,Treatment of Depression, Neuropathic pain,47,12/23/2026,A-03
314,Anafortan Syrup,101.73,Abbott,allopathy,bottle of 60 ml Syrup,,,Treatment of Abdominal pain,,18,12/23/2026,A-03
320,Arimidex 1mg Tablet,3435.0,AstraZeneca,allopathy,strip of 14 tablets,Aromita Tablet,Femistra Tablet, Breast cancer,,22,12/23/2026,A-04
